R	53.2991	-6.16512	E943	04 Feb 2026	E943\n19:01 - Greystones to Howth (3 mins late)\nArrived Seapoint next stop Blackrock	Northbound
R	53.3212	-8.60608	A724	04 Feb 2026	A724\n17:31 - Dublin Heuston to Galway (-5 mins late)\nArrived Attymon next stop Athenry	To Galway
R	53.3223	-6.52356	P420	04 Feb 2026	P420\n19:40 - Hazelhatch to Grand Canal Dock (0 mins late)\nDeparted Hazelhatch next stop Adamstown	Northbound
R	53.3281	-6.22116	E127	04 Feb 2026	E127\n18:55 - Howth to Greystones (7 mins late)\nDeparted Sandymount next stop Sydney Parade	Southbound
R	53.3281	-6.22116	E840	04 Feb 2026	E840\n19:04 - Bray to Malahide (2 mins late)\nArrived Sandymount next stop Lansdowne Road	Northbound
R	53.3334	-6.40628	A229	04 Feb 2026	A229\n19:25 - Cork to Dublin Heuston (5 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.3334	-6.40628	A231	04 Feb 2026	A231\n20:25 - Cork to Dublin Heuston (5 mins late)\nDeparted Clondalkin next stop Dublin Heuston	To Dublin Heuston
R	53.334	-6.37868	P224	04 Feb 2026	P224\n18:29 - Portlaoise to Dublin Heuston (2 mins late)\nDeparted Park West and Cherry Orchard next stop Dublin Heuston	To Dublin Heuston
R	53.3397	-6.23773	E942	04 Feb 2026	E942\n18:55 - Bray to Howth (7 mins late)\nArrived Grand Canal Dock next stop Dublin Pearse	Northbound
R	53.3432	-8.47231	A720	04 Feb 2026	A720\n16:30 - Dublin Heuston to Galway (39 mins late)\nDeparted Woodlawn next stop Athenry	To Galway
R	53.3531	-6.24591	E254	04 Feb 2026	E254\n19:03 - Malahide to Bray (8 mins late)\nDeparted Dublin Connolly next stop Tara Street	Southbound
R	53.3602	-7.79847	A808	04 Feb 2026	A808\n18:15 - Dublin Heuston to Westport (4 mins late)\nDeparted Clonydonnin next stop Athlone	To Westport
R	53.3629	-6.22753	E255	04 Feb 2026	E255\n19:19 - Howth to Bray (1 mins late)\nArrived Clontarf Road next stop Dublin Connolly	Southbound
R	53.3632	-6.25908	A914	04 Feb 2026	A914\n19:32 - Dublin Connolly to Sligo (1 mins late)\nArrived Drumcondra next stop Broombridge	Northbound
R	53.3725	-6.29869	P782	04 Feb 2026	P782\n19:12 - M3 Parkway to Dublin Connolly (1 mins late)\nDeparted Broombridge next stop Drumcondra	Southbound
R	53.373	-6.20442	E839	04 Feb 2026	E839\n18:31 - Greystones to Malahide (2 mins late)\nArrived Killester next stop Harmonstown	Northbound
R	53.3755	-6.33135	D325	04 Feb 2026	D325\n19:25 - Docklands to M3 Parkway (1 mins late)\nDeparted Ashtown next stop Navan Road Parkway	Northbound
R	53.378	-6.58993	P667	04 Feb 2026	P667\n19:39 - Maynooth to Grand Canal Dock (0 mins late)\nDeparted Maynooth next stop Leixlip (Louisa Bridge)	Southbound
R	53.3816	-6.37149	D932	04 Feb 2026	D932\n19:17 - Dublin Connolly to Maynooth (4 mins late)\nDeparted Castleknock next stop Coolmine	Northbound
R	53.3831	-6.4242	P766	04 Feb 2026	P766\n19:25 - Maynooth to Dublin Connolly (0 mins late)\nArrived Clonsilla next stop Coolmine	Southbound
R	53.3909	-6.15672	E941	04 Feb 2026	E941\n18:35 - Bray to Howth (2 mins late)\nDeparted Howth Junction next stop Bayside	Northbound
